0	0	0	pKMBm5-MGapt_mRNA_dna0_xylose0_xylr0_diag_Sigma.dat	pKMBm5-MGapt_mRNA_dna0_xylose0_xylr0_Means.dat
1	0	0	pKMBm5-MGapt_mRNA_dna1_xylose0_xylr0_diag_Sigma.dat	pKMBm5-MGapt_mRNA_dna1_xylose0_xylr0_Means.dat
1.5	0	0	pKMBm5-MGapt_mRNA_dna1.5_xylose0_xylr0_diag_Sigma.dat	pKMBm5-MGapt_mRNA_dna1.5_xylose0_xylr0_Means.dat
2	0	0	pKMBm5-MGapt_mRNA_dna2_xylose0_xylr0_diag_Sigma.dat	pKMBm5-MGapt_mRNA_dna2_xylose0_xylr0_Means.dat
2.5	0	0	pKMBm5-MGapt_mRNA_dna2.5_xylose0_xylr0_diag_Sigma.dat	pKMBm5-MGapt_mRNA_dna2.5_xylose0_xylr0_Means.dat
3	0	0	pKMBm5-MGapt_mRNA_dna3_xylose0_xylr0_diag_Sigma.dat	pKMBm5-MGapt_mRNA_dna3_xylose0_xylr0_Means.dat
4	0	0	pKMBm5-MGapt_mRNA_dna4_xylose0_xylr0_diag_Sigma.dat	pKMBm5-MGapt_mRNA_dna4_xylose0_xylr0_Means.dat
5	0	0	pKMBm5-MGapt_mRNA_dna5_xylose0_xylr0_diag_Sigma.dat	pKMBm5-MGapt_mRNA_dna5_xylose0_xylr0_Means.dat
6	0	0	pKMBm5-MGapt_mRNA_dna6_xylose0_xylr0_diag_Sigma.dat	pKMBm5-MGapt_mRNA_dna6_xylose0_xylr0_Means.dat
8	0	0	pKMBm5-MGapt_mRNA_dna8_xylose0_xylr0_diag_Sigma.dat	pKMBm5-MGapt_mRNA_dna8_xylose0_xylr0_Means.dat
10	0	0	pKMBm5-MGapt_mRNA_dna10_xylose0_xylr0_diag_Sigma.dat	pKMBm5-MGapt_mRNA_dna10_xylose0_xylr0_Means.dat
